,協和#1,協和#2,協和#3,協和#4,台中#1,台中#2,台中#3,台中#4,台中#5,台中#6,台中#7,台中#8,台中#9,台中#10,台中Gas1&2,台中Gas3&4,南部CC#1,南部CC#2,南部CC#3,南部CC#4,烏來&桂山&粗坑,桂山發電廠,桂山發電廠.1,桂山發電廠.2,桂山發電廠.3,翡翠#1,桂山發電廠.4,林口#1,林口#2,麥寮#1,麥寮#2,麥寮#3,國光#1,星彰#1,星元#1,嘉惠#1
2016/12/17 00:00,-21.6561087374,-21.6561087374,-21.6561087374,-21.6561087374,-14.0557719076,-14.0557719076,-14.0557719076,-14.0557719076,-14.0557719076,-14.0557719076,-14.0557719076,-14.0557719076,-14.0557719076,-14.0557719076,-14.0557719076,-14.0557719076,-13.1704884567,-13.1704884567,-13.1704884567,-13.1704884567,2.78840926727,2.78840926727,2.78840926727,2.78840926727,2.78840926727,2.78840926727,2.78840926727,-4.61572764213,-4.61572764213,-15.8509755282,-15.8509755282,-15.8509755282,-9.49729531733,3.45543877051,3.50260922545,0.704510358452
2016/12/17 00:10,-18.5908095611,-18.5908095611,-18.5908095611,-18.5908095611,-14.1943028148,-14.1943028148,-14.1943028148,-14.1943028148,-14.1943028148,-14.1943028148,-14.1943028148,-14.1943028148,-14.1943028148,-14.1943028148,-14.1943028148,-14.1943028148,-16.9426569831,-16.9426569831,-16.9426569831,-16.9426569831,38.0276216329,38.0276216329,38.0276216329,38.0276216329,38.0276216329,38.0276216329,38.0276216329,-4.38026636549,-4.38026636549,-19.6857106012,-19.6857106012,-19.6857106012,-9.66096733829,2.05804730457,2.18297130989,0.697338471472
2016/12/17 00:20,-19.2879543184,-19.2879543184,-19.2879543184,-19.2879543184,-14.2351194726,-14.2351194726,-14.2351194726,-14.2351194726,-14.2351194726,-14.2351194726,-14.2351194726,-14.2351194726,-14.2351194726,-14.2351194726,-14.2351194726,-14.2351194726,-18.9897435139,-18.9897435139,-18.9897435139,-18.9897435139,12.0998998907,12.0998998907,12.0998998907,12.0998998907,12.0998998907,12.0998998907,12.0998998907,-5.66273885042,-5.66273885042,-18.6592823284,-18.6592823284,-18.6592823284,-9.62554761052,1.81881880148,1.95631387435,2.09506046387
2016/12/17 00:30,-22.1078578278,-22.1078578278,-22.1078578278,-22.1078578278,-14.3389633023,-14.3389633023,-14.3389633023,-14.3389633023,-14.3389633023,-14.3389633023,-14.3389633023,-14.3389633023,-14.3389633023,-14.3389633023,-14.3389633023,-14.3389633023,-19.8525989587,-19.8525989587,-19.8525989587,-19.8525989587,50.2783097955,50.2783097955,50.2783097955,50.2783097955,50.2783097955,50.2783097955,50.2783097955,-4.59048554815,-4.59048554815,-18.8103017139,-18.8103017139,-18.8103017139,-9.18752053511,1.55361546984,1.72754305917,2.69510866798
2016/12/17 00:40,-18.4864007433,-18.4864007433,-18.4864007433,-18.4864007433,-17.0620281931,-17.0620281931,-17.0620281931,-17.0620281931,-17.0620281931,-17.0620281931,-17.0620281931,-17.0620281931,-17.0620281931,-17.0620281931,-17.0620281931,-17.0620281931,-20.8895511504,-20.8895511504,-20.8895511504,-20.8895511504,37.2304124395,37.2304124395,37.2304124395,37.2304124395,37.2304124395,37.2304124395,37.2304124395,-5.35654447406,-5.35654447406,-17.9521304757,-17.9521304757,-17.9521304757,-9.36434197487,0.662513671276,0.649855618847,0.357659683053
2016/12/17 00:50,-15.4422313488,-15.4422313488,-15.4422313488,-15.4422313488,-14.5694531221,-14.5694531221,-14.5694531221,-14.5694531221,-14.5694531221,-14.5694531221,-14.5694531221,-14.5694531221,-14.5694531221,-14.5694531221,-14.5694531221,-14.5694531221,-22.6462824181,-22.6462824181,-22.6462824181,-22.6462824181,22.5671062563,22.5671062563,22.5671062563,22.5671062563,22.5671062563,22.5671062563,22.5671062563,-7.42799928897,-7.42799928897,-20.4137434519,-20.4137434519,-20.4137434519,-9.17030517883,-0.0930334914372,-0.0621186536722,-2.13372770942
2016/12/17 01:00,-15.3823318587,-15.3823318587,-15.3823318587,-15.3823318587,-14.2722468242,-14.2722468242,-14.2722468242,-14.2722468242,-14.2722468242,-14.2722468242,-14.2722468242,-14.2722468242,-14.2722468242,-14.2722468242,-14.2722468242,-14.2722468242,-15.9322755701,-15.9322755701,-15.9322755701,-15.9322755701,10.3263893496,10.3263893496,10.3263893496,10.3263893496,10.3263893496,10.3263893496,10.3263893496,-6.88343874115,-6.88343874115,-11.2711687705,-11.2711687705,-11.2711687705,-8.74343430208,-0.703202924243,-0.649045623882,-2.04792080892
2016/12/17 01:10,-17.3318410128,-17.3318410128,-17.3318410128,-17.3318410128,-15.8539188967,-15.8539188967,-15.8539188967,-15.8539188967,-15.8539188967,-15.8539188967,-15.8539188967,-15.8539188967,-15.8539188967,-15.8539188967,-15.8539188967,-15.8539188967,-22.6181309712,-22.6181309712,-22.6181309712,-22.6181309712,19.6854169332,19.6854169332,19.6854169332,19.6854169332,19.6854169332,19.6854169332,19.6854169332,-6.63328596532,-6.63328596532,-18.4275388663,-18.4275388663,-18.4275388663,-8.78272721127,1.05734585051,0.976764064506,-0.773340852145
2016/12/17 01:20,-17.9621180492,-17.9621180492,-17.9621180492,-17.9621180492,-16.3242236833,-16.3242236833,-16.3242236833,-16.3242236833,-16.3242236833,-16.3242236833,-16.3242236833,-16.3242236833,-16.3242236833,-16.3242236833,-16.3242236833,-16.3242236833,-22.2286025687,-22.2286025687,-22.2286025687,-22.2286025687,15.87352961,15.87352961,15.87352961,15.87352961,15.87352961,15.87352961,15.87352961,-5.07679811265,-5.07679811265,-18.6891128207,-18.6891128207,-18.6891128207,-9.36890882235,0.857712238888,0.717666910574,-0.795361930221
2016/12/17 01:30,-19.5308074263,-19.5308074263,-19.5308074263,-19.5308074263,-17.0211519155,-17.0211519155,-17.0211519155,-17.0211519155,-17.0211519155,-17.0211519155,-17.0211519155,-17.0211519155,-17.0211519155,-17.0211519155,-17.0211519155,-17.0211519155,-22.5587590915,-22.5587590915,-22.5587590915,-22.5587590915,13.7306245724,13.7306245724,13.7306245724,13.7306245724,13.7306245724,13.7306245724,13.7306245724,-5.64305588726,-5.64305588726,-17.2772640257,-17.2772640257,-17.2772640257,-9.72439437876,2.58354809705,2.40541001231,2.58731729779
2016/12/17 01:40,-18.3937998399,-18.3937998399,-18.3937998399,-18.3937998399,-18.4569345882,-18.4569345882,-18.4569345882,-18.4569345882,-18.4569345882,-18.4569345882,-18.4569345882,-18.4569345882,-18.4569345882,-18.4569345882,-18.4569345882,-18.4569345882,-22.9443554576,-22.9443554576,-22.9443554576,-22.9443554576,14.4974666775,14.4974666775,14.4974666775,14.4974666775,14.4974666775,14.4974666775,14.4974666775,-6.70819498367,-6.70819498367,-17.8163182656,-17.8163182656,-17.8163182656,-9.64208095673,1.4521997558,1.18070667249,3.30730799311
2016/12/17 01:50,-19.9461194585,-19.9461194585,-19.9461194585,-19.9461194585,-19.1517130264,-19.1517130264,-19.1517130264,-19.1517130264,-19.1517130264,-19.1517130264,-19.1517130264,-19.1517130264,-19.1517130264,-19.1517130264,-19.1517130264,-19.1517130264,-23.4433111726,-23.4433111726,-23.4433111726,-23.4433111726,18.4224442866,18.4224442866,18.4224442866,18.4224442866,18.4224442866,18.4224442866,18.4224442866,-7.00883166212,-7.00883166212,-16.7935747921,-16.7935747921,-16.7935747921,-9.2784590454,2.80054018743,2.45471952244,4.22602229556
