電廠名稱,地址,緯度,經度,機組名稱,商轉日期,裝置容量(瓩),燃料種類
協和#1,20345 基隆市文化路80號,25.153825,121.736369,協一機,66.01.15,"500,000",重油
協和#2,20345 基隆市文化路80號,25.153825,121.736369,協二機,66.12.22,"500,000",重油
協和#3,20345 基隆市文化路80號,25.153825,121.736369,協三機,69.03.16,"500,000",重油
協和#4,20345 基隆市文化路80號,25.153825,121.736369,協四機,74.08.26,"500,000",重油
大潭CC#1,32841桃園市觀音鄉大潭村電廠路1號,25.029623,121.051065,大潭複一機,95.08.17,"742,700",天然氣/輕柴油
大潭CC#2,32841桃園市觀音鄉大潭村電廠路1號,25.029623,121.051065,大潭複二機,95.12.26,"742,700",天然氣/輕柴油
大潭CC#3,32841桃園市觀音鄉大潭村電廠路1號,25.029623,121.051065,大潭複三機,96.11.12,"724,700",天然氣
大潭CC#4,32841桃園市觀音鄉大潭村電廠路1號,25.029623,121.051065,大潭複四機,96.11.12,"724,700",天然氣
大潭CC#5,32841桃園市觀音鄉大潭村電廠路1號,25.029623,121.051065,大潭複五機,97.07.03,"724,700",天然氣
大潭CC#6,32841桃園市觀音鄉大潭村電廠路1號,25.029623,121.051065,大潭複六機,98.1.14,"724,700",天然氣
通霄CC#1,35741苗栗縣通霄鎮海濱路1-31號,24.488168,120.672867,通霄複一機,72.03.28,"258,500",天然氣
通霄CC#2,35741苗栗縣通霄鎮海濱路1-31號,24.488168,120.672867,通霄複二機,72.03.30,"258,500",天然氣
通霄CC#3,35741苗栗縣通霄鎮海濱路1-31號,24.488168,120.672867,通霄複三機,72.03.31,"246,800",天然氣
通霄CC#4,35741苗栗縣通霄鎮海濱路1-31號,24.488168,120.672867,通霄複四機,81.03.22,"386,000",天然氣
通霄CC#5,35741苗栗縣通霄鎮海濱路1-31號,24.488168,120.672867,通霄複五機,81.05.01,"386,000",天然氣
通霄CC#6,35741苗栗縣通霄鎮海濱路1-31號,24.488168,120.672867,通霄複六機,89.05.30,"321,200",天然氣
台中#1,43401台中市龍井區龍昌路1號,24.215259,120.489441,中一機,80.05.27,"550,000",煤
台中#2,43401台中市龍井區龍昌路1號,24.215259,120.489441,中二機,80.08.25,"550,000",煤
台中#3,43401台中市龍井區龍昌路1號,24.215259,120.489441,中三機,81.06.26,"550,000",煤
台中#4,43401台中市龍井區龍昌路1號,24.215259,120.489441,中四機,81.10.04,"550,000",煤
台中#5,43401台中市龍井區龍昌路1號,24.215259,120.489441,中五機,85.03.29,"550,000",煤
台中#6,43401台中市龍井區龍昌路1號,24.215259,120.489441,中六機,85.05.04,"550,000",煤
台中#7,43401台中市龍井區龍昌路1號,24.215259,120.489441,中七機,85.10.17,"550,000",煤
台中#8,43401台中市龍井區龍昌路1號,24.215259,120.489441,中八機,86.06.27,"550,000",煤
台中#9,43401台中市龍井區龍昌路1號,24.215259,120.489441,中九機,94.08.01,"550,000",煤
台中#10,43401台中市龍井區龍昌路1號,24.215259,120.489441,中十機,95.06.30,"550,000",煤
台中Gas1&2,43401台中市龍井區龍昌路1號,24.215259,120.489441,GT#1,79.05.29,"70,000",輕柴油
台中Gas3&4,43401台中市龍井區龍昌路1號,24.215259,120.489441,GT#4,79.06.19,"70,000",輕柴油
興達#1,82842高雄市永安區興達路6號,22.858936,120.20055,興一機,71.09.28,"500,000",煤
