,協和#1,協和#2,協和#3,協和#4,大潭CC#1,大潭CC#2,大潭CC#3,大潭CC#4,大潭CC#5,大潭CC#6,通霄CC#1,通霄CC#2,通霄CC#3,通霄CC#4,通霄CC#5,通霄CC#6,台中#1,台中#2,台中#3,台中#4,台中#5,台中#6,台中#7,台中#8,台中#9,台中#10,台中Gas1&2,台中Gas3&4,興達#1,興達#2,興達#3,興達#4,興達CC#1,興達CC#2,興達CC#3,興達CC#4,興達CC#5,南部CC#1,南部CC#2,南部CC#3,南部CC#4,大林#3,大林#4,大林#5,大林#6,澎湖尖山,尖山發電廠,尖山發電廠,尖山發電廠,尖山發電廠,尖山發電廠,尖山發電廠,尖山發電廠,尖山發電廠,尖山發電廠,尖山發電廠,尖山發電廠,金門塔山,塔山發電廠,塔山發電廠,塔山發電廠,塔山發電廠,塔山發電廠,塔山發電廠,塔山發電廠,塔山發電廠,塔山發電廠,塔山發電廠,塔山發電廠,塔山發電廠,塔山發電廠,塔山發電廠,塔山發電廠,塔山發電廠,塔山發電廠,塔山發電廠,烏來&桂山&粗坑,桂山發電廠,桂山發電廠,桂山發電廠,桂山發電廠,翡翠#1,桂山發電廠,石門#1,石門#2,義興#1,卓蘭#1,卓蘭#2,萬大#1,萬大#2,萬大#3,萬大#4,松林#1&2,萬大發電廠,大觀一#1,大觀一#2,大觀一#3,大觀一#4,大觀一#5,大觀發電廠,大觀發電廠,大觀發電廠,大觀發電廠,明潭發電廠,明潭發電廠,明潭發電廠,明潭發電廠,明潭發電廠,明潭發電廠,水里#1,鉅工#1,鉅工#2,明潭發電廠,明潭發電廠,大甲溪發電廠,大甲溪發電廠,德基#1,德基#2,德基#3,青山#1,青山#2,青山#3,青山#4,谷關#1,谷關#2,谷關#3,谷關#4,天輪#1,天輪#2,天輪#3,天輪#4,天輪#5,馬鞍#1,馬鞍#2,大甲溪發電廠,曾文#1,高屏發電廠,高屏發電廠,高屏發電廠,立霧#1&#2,東部發電廠,東部發電廠,龍澗#1,龍澗#2,東部發電廠,東部發電廠,東部發電廠,東部發電廠,東部發電廠,東部發電廠,東部發電廠,東部發電廠,東部發電廠,碧海,蘭陽發電廠,蘭陽發電廠,蘭陽發電廠,蘭陽發電廠,蘭陽發電廠,蘭陽發電廠,核一#1,核一#2,核二#1,核二#2,核三#1,核三#2,林口#1,林口#2,和平#1,和平#2,海湖#1,海湖#2,麥寮#1,麥寮#2,麥寮#3,新桃#1,國光#1,星彰#1,星元#1,嘉惠#1,豐德#1,豐德#2,馬祖珠山,名間,嘉南西口&嘉南烏山頭,卑南
2016/12/17 00:00,0.148341984427,0.148341984427,0.148341984427,0.148341984427,0.0742407425171,0.0742407425171,0.0742407425171,0.0742407425171,0.0742407425171,0.0742407425171,0.00198381048102,0.00198381048102,0.00198381048102,0.00198381048102,0.00198381048102,0.00198381048102,0.0217615432115,0.0217615432115,0.0217615432115,0.0217615432115,0.0217615432115,0.0217615432115,0.0217615432115,0.0217615432115,0.0217615432115,0.0217615432115,0.0217615432115,0.0217615432115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.68689282989,1.68689282989,1.68689282989,1.68689282989,0.159763800481,0.159763800481,0.159763800481,0.159763800481,0.00218126353531,0.00218126353531,0.00218126353531,0.00218126353531,0.00218126353531,0.00218126353531,0.00218126353531,0.00218126353531,0.00218126353531,0.00218126353531,0.00218126353531,0.00218126353531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0292390944166,0.0292390944166,0.0292390944166,0.0292390944166,0.0292390944166,0.0292390944166,0.0292390944166,0.127548978414,0.127548978414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0236017212982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00203753576696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0633930634972,0.0633930634972,0.0617867694498,0.0617867694498,0.172691960859,0.172691960859,0.0,0.0,0.00509661859319,0.00509661859319,0.0625842493546,0.0625842493546,0.0625842493546,0.806151301473,12.4049167151,7.175297313,7.55283536089,1.45859493313,0.0138679054024,0.0138679054024,0.0,0.0053051201221,0.0,0.0
2016/12/17 00:10,0.0513461566926,0.0513461566926,0.0513461566926,0.0513461566926,0.0,0.0,0.0,0.0,0.0,0.0,0.00198381048102,0.00198381048102,0.00198381048102,0.00198381048102,0.00198381048102,0.00198381048102,0.0155181090221,0.0155181090221,0.0155181090221,0.0155181090221,0.0155181090221,0.0155181090221,0.0155181090221,0.0155181090221,0.0155181090221,0.0155181090221,0.0155181090221,0.0155181090221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22728191287,1.22728191287,1.22728191287,1.22728191287,0.0698892895123,0.0698892895123,0.0698892895123,0.0698892895123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301112588907,0.0301112588907,0.0301112588907,0.0301112588907,0.0301112588907,0.0301112588907,0.0301112588907,0.107362264118,0.107362264118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.178238097645,0.178238097645,0.0,0.0,0.00773039606169,0.00773039606169,0.0435798220831,0.0435798220831,0.0435798220831,0.780076186199,12.2825975538,7.12012968555,7.52297379803,1.51406243322,0.0,0.0,0.0,0.0,0.0,0.0
2016/12/17 00:20,0.0513461566926,0.0513461566926,0.0513461566926,0.0513461566926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0305448779623,0.0305448779623,0.0305448779623,0.0305448779623,0.0305448779623,0.0305448779623,0.0305448779623,0.0305448779623,0.0305448779623,0.0305448779623,0.0305448779623,0.0305448779623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29358845918,1.29358845918,1.29358845918,1.29358845918,0.0698892895123,0.0698892895123,0.0698892895123,0.0698892895123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0104793221015,0.0104793221015,0.0104793221015,0.0104793221015,0.0104793221015,0.0104793221015,0.0104793221015,0.107362264118,0.107362264118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.171358279351,0.171358279351,0.0,0.0,0.00386519803084,0.00386519803084,0.0435798220831,0.0435798220831,0.0435798220831,0.780076186199,12.2437144361,7.13430636652,7.52624667902,1.38367779974,0.0,0.0,0.0,0.0,0.0,0.0
2016/12/17 00:30,0.0513461566926,0.0513461566926,0.0513461566926,0.0513461566926,0.0,0.0,0.0,0.0,0.0,0.0,0.00198381048102,0.00198381048102,0.00198381048102,0.00198381048102,0.00198381048102,0.00198381048102,0.0345938823308,0.0345938823308,0.0345938823308,0.0345938823308,0.0345938823308,0.0345938823308,0.0345938823308,0.0345938823308,0.0345938823308,0.0345938823308,0.0345938823308,0.0345938823308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.39509681803,1.39509681803,1.39509681803,1.39509681803,0.0747338552794,0.0747338552794,0.0747338552794,0.0747338552794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0139997055289,0.0139997055289,0.0139997055289,0.0139997055289,0.0139997055289,0.0139997055289,0.0139997055289,0.107362264118,0.107362264118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.264339215844,0.264339215844,0.0,0.0,0.0744009597576,0.0744009597576,0.0406562491561,0.0406562491561,0.0406562491561,0.780076186199,12.3445264727,7.12949687707,7.52444559836,1.41408413437,0.0,0.0,0.0,0.0,0.0,0.0
2016/12/17 00:40,0.0513461566926,0.0513461566926,0.0513461566926,0.0513461566926,0.0,0.0,0.0,0.0,0.0,0.0,0.00198381048102,0.00198381048102,0.00198381048102,0.00198381048102,0.00198381048102,0.00198381048102,0.0188892049386,0.0188892049386,0.0188892049386,0.0188892049386,0.0188892049386,0.0188892049386,0.0188892049386,0.0188892049386,0.0188892049386,0.0188892049386,0.0188892049386,0.0188892049386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23540574973,1.23540574973,1.23540574973,1.23540574973,0.0698892895123,0.0698892895123,0.0698892895123,0.0698892895123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0320632690584,0.0320632690584,0.0320632690584,0.0320632690584,0.0320632690584,0.0320632690584,0.0320632690584,0.107362264118,0.107362264118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.230040916877,0.230040916877,0.0,0.0,0.050889039182,0.050889039182,0.0406562491561,0.0406562491561,0.0406562491561,0.780076186199,12.2661410418,7.63774404252,8.17309837198,1.53378203228,0.0,0.0,0.0,0.0,0.0,0.0
2016/12/17 00:50,0.0513461566926,0.0513461566926,0.0513461566926,0.0513461566926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0401059463066,0.0401059463066,0.0401059463066,0.0401059463066,0.0401059463066,0.0401059463066,0.0401059463066,0.0401059463066,0.0401059463066,0.0401059463066,0.0401059463066,0.0401059463066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19208010032,1.19208010032,1.19208010032,1.19208010032,0.0650447237452,0.0650447237452,0.0650447237452,0.0650447237452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036500082791,0.036500082791,0.036500082791,0.036500082791,0.036500082791,0.036500082791,0.036500082791,0.107362264118,0.107362264118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.313268551755,0.313268551755,0.0,0.0,0.121424800909,0.121424800909,0.0406562491561,0.0406562491561,0.0406562491561,0.780076186199,12.0256087499,7.92753640538,8.48836981627,1.32088652814,0.0,0.0,0.0,0.0,0.0,0.0
2016/12/17 01:00,0.245337812161,0.245337812161,0.245337812161,0.245337812161,0.148481485034,0.148481485034,0.148481485034,0.148481485034,0.148481485034,0.148481485034,0.00198381048102,0.00198381048102,0.00198381048102,0.00198381048102,0.00198381048102,0.00198381048102,0.0291016766672,0.0291016766672,0.0291016766672,0.0291016766672,0.0291016766672,0.0291016766672,0.0291016766672,0.0291016766672,0.0291016766672,0.0291016766672,0.0291016766672,0.0291016766672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.02062387745,2.02062387745,2.02062387745,2.02062387745,0.244793745682,0.244793745682,0.244793745682,0.244793745682,0.00436252707062,0.00436252707062,0.00436252707062,0.00436252707062,0.00436252707062,0.00436252707062,0.00436252707062,0.00436252707062,0.00436252707062,0.00436252707062,0.00436252707062,0.00436252707062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0334663678056,0.0334663678056,0.0334663678056,0.0334663678056,0.0334663678056,0.0334663678056,0.0334663678056,0.14773569271,0.14773569271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0472034425964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00407507153392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.126786126994,0.126786126994,0.1235735389,0.1235735389,0.459287502913,0.459287502913,0.0,0.0,0.245312442942,0.245312442942,0.0757415307721,0.0757415307721,0.0757415307721,0.832226416747,12.4947089528,7.93570751519,8.47212498961,1.48843380029,0.0277358108048,0.0277358108048,0.0,0.0106102402442,0.0,0.0
2016/12/17 01:10,0.0513461566926,0.0513461566926,0.0513461566926,0.0513461566926,0.0,0.0,0.0,0.0,0.0,0.0,0.00198381048102,0.00198381048102,0.00198381048102,0.00198381048102,0.00198381048102,0.00198381048102,0.0210069913079,0.0210069913079,0.0210069913079,0.0210069913079,0.0210069913079,0.0210069913079,0.0210069913079,0.0210069913079,0.0210069913079,0.0210069913079,0.0210069913079,0.0210069913079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19347071402,1.19347071402,1.19347071402,1.19347071402,0.0698892895123,0.0698892895123,0.0698892895123,0.0698892895123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0184365192614,0.0184365192614,0.0184365192614,0.0184365192614,0.0184365192614,0.0184365192614,0.0184365192614,0.107362264118,0.107362264118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.470069994136,0.470069994136,0.0,0.0,0.238984403787,0.238984403787,0.0406562491561,0.0406562491561,0.0406562491561,0.780076186199,12.4783697211,7.69581754767,8.22555693601,1.40807582967,0.0,0.0,0.0,0.0,0.0,0.0
2016/12/17 01:20,0.0513461566926,0.0513461566926,0.0513461566926,0.0513461566926,0.0,0.0,0.0,0.0,0.0,0.0,0.00198381048102,0.00198381048102,0.00198381048102,0.00198381048102,0.00198381048102,0.00198381048102,0.0305448779623,0.0305448779623,0.0305448779623,0.0305448779623,0.0305448779623,0.0305448779623,0.0305448779623,0.0305448779623,0.0305448779623,0.0305448779623,0.0305448779623,0.0305448779623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18534687715,1.18534687715,1.18534687715,1.18534687715,0.0698892895123,0.0698892895123,0.0698892895123,0.0698892895123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022686855128,0.022686855128,0.022686855128,0.022686855128,0.022686855128,0.022686855128,0.022686855128,0.107362264118,0.107362264118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.466566338534,0.466566338534,0.0,0.0,0.238984403787,0.238984403787,0.0406562491561,0.0406562491561,0.0406562491561,0.780076186199,12.4141360018,7.90837760073,8.46010448744,1.33788308794,0.0,0.0,0.0,0.0,0.0,0.0
2016/12/17 01:30,0.0513461566926,0.0513461566926,0.0513461566926,0.0513461566926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0324529142715,0.0324529142715,0.0324529142715,0.0324529142715,0.0324529142715,0.0324529142715,0.0324529142715,0.0324529142715,0.0324529142715,0.0324529142715,0.0324529142715,0.0324529142715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.34503794545,1.34503794545,1.34503794545,1.34503794545,0.0747338552794,0.0747338552794,0.0747338552794,0.0747338552794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0324095845897,0.0324095845897,0.0324095845897,0.0324095845897,0.0324095845897,0.0324095845897,0.0324095845897,0.107362264118,0.107362264118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.460238940952,0.460238940952,0.0,0.0,0.235119205756,0.235119205756,0.0406562491561,0.0406562491561,0.0406562491561,0.780076186199,12.3774583523,8.61222712096,9.75455819561,1.55221351275,0.0,0.0,0.0,0.0,0.0,0.0
