,協和#1,協和#2,協和#3,協和#4,大潭CC#1,大潭CC#2,大潭CC#3,大潭CC#4,大潭CC#5,大潭CC#6,通霄CC#1,通霄CC#2,通霄CC#3,通霄CC#4,通霄CC#5,通霄CC#6,台中#1,台中#2,台中#3,台中#4,台中#5,台中#6,台中#7,台中#8,台中#9,台中#10,台中Gas1&2,台中Gas3&4,興達#1,興達#2,興達#3,興達#4,興達CC#1,興達CC#2,興達CC#3,興達CC#4,興達CC#5,南部CC#1,南部CC#2,南部CC#3,南部CC#4,大林#3,大林#4,大林#5,大林#6,澎湖尖山,尖山發電廠,尖山發電廠,尖山發電廠,尖山發電廠,尖山發電廠,尖山發電廠,尖山發電廠,尖山發電廠,尖山發電廠,尖山發電廠,尖山發電廠,金門塔山,塔山發電廠,塔山發電廠,塔山發電廠,塔山發電廠,塔山發電廠,塔山發電廠,塔山發電廠,塔山發電廠,塔山發電廠,塔山發電廠,塔山發電廠,塔山發電廠,塔山發電廠,塔山發電廠,塔山發電廠,塔山發電廠,塔山發電廠,塔山發電廠,烏來&桂山&粗坑,桂山發電廠,桂山發電廠,桂山發電廠,桂山發電廠,翡翠#1,桂山發電廠,石門#1,石門#2,義興#1,卓蘭#1,卓蘭#2,萬大#1,萬大#2,萬大#3,萬大#4,松林#1&2,萬大發電廠,大觀一#1,大觀一#2,大觀一#3,大觀一#4,大觀一#5,大觀發電廠,大觀發電廠,大觀發電廠,大觀發電廠,明潭發電廠,明潭發電廠,明潭發電廠,明潭發電廠,明潭發電廠,明潭發電廠,水里#1,鉅工#1,鉅工#2,明潭發電廠,明潭發電廠,大甲溪發電廠,大甲溪發電廠,德基#1,德基#2,德基#3,青山#1,青山#2,青山#3,青山#4,谷關#1,谷關#2,谷關#3,谷關#4,天輪#1,天輪#2,天輪#3,天輪#4,天輪#5,馬鞍#1,馬鞍#2,大甲溪發電廠,曾文#1,高屏發電廠,高屏發電廠,高屏發電廠,立霧#1&#2,東部發電廠,東部發電廠,龍澗#1,龍澗#2,東部發電廠,東部發電廠,東部發電廠,東部發電廠,東部發電廠,東部發電廠,東部發電廠,東部發電廠,東部發電廠,碧海,蘭陽發電廠,蘭陽發電廠,蘭陽發電廠,蘭陽發電廠,蘭陽發電廠,蘭陽發電廠,核一#1,核一#2,核二#1,核二#2,核三#1,核三#2,林口#1,林口#2,和平#1,和平#2,海湖#1,海湖#2,麥寮#1,麥寮#2,麥寮#3,新桃#1,國光#1,星彰#1,星元#1,嘉惠#1,豐德#1,豐德#2,馬祖珠山,名間,嘉南西口&嘉南烏山頭,卑南
2016/12/17 00:00,96.85859295,96.85859295,96.85859295,96.85859295,48.9774037,48.9774037,48.9774037,48.9774037,48.9774037,48.9774037,134.2265995,134.2265995,134.2265995,134.2265995,134.2265995,134.2265995,391.4205857,391.4205857,391.4205857,391.4205857,391.4205857,391.4205857,391.4205857,391.4205857,391.4205857,391.4205857,391.4205857,391.4205857,159.1315991,159.1315991,159.1315991,159.1315991,159.1315991,159.1315991,159.1315991,159.1315991,159.1315991,206.4636324,206.4636324,206.4636324,206.4636324,164.9286139,164.9286139,164.9286139,164.9286139,2.530886495,2.530886495,2.530886495,2.530886495,2.530886495,2.530886495,2.530886495,2.530886495,2.530886495,2.530886495,2.530886495,2.530886495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.5230438,157.5230438,157.5230438,157.5230438,157.5230438,157.5230438,157.5230438,81.82521222,81.82521222,80.35292343,205.6125407,205.6125407,32.27398715,32.27398715,32.27398715,32.27398715,32.27398715,32.27398715,90.03896919,90.03896919,90.03896919,90.03896919,90.03896919,90.03896919,90.03896919,90.03896919,90.03896919,77.59452139,77.59452139,77.59452139,77.59452139,77.59452139,77.59452139,77.59452139,77.59452139,77.59452139,77.59452139,77.59452139,238.3084427,238.3084427,33.67100149,33.67100149,33.67100149,57.94540163,57.94540163,57.94540163,57.94540163,112.3802121,112.3802121,112.3802121,112.3802121,238.0345685,238.0345685,238.0345685,238.0345685,238.0345685,354.4989901,354.4989901,238.3084427,87.21867389,19.79363912,19.79363912,45.4946007,2.07049192,2.07049192,1.940989492,1.566994983,1.566994983,1.566994983,1.161985629,1.161985629,1.161985629,0.756804529,0.756804529,0.756804529,0.74350519,0.85368548,4.556741563,24.49480335,24.49480335,25.52802537,25.52802537,25.52802537,25.52802537,83.16440291,83.16440291,110.8647643,110.8647643,2.052539256,2.052539256,140.6066138,140.6066138,2.688104604,2.688104604,119.8557866,119.8557866,76.59242916,76.59242916,76.59242916,75.38229728,178.9491231,361.6921901,347.9917931,135.2034137,106.1890765,106.1890765,0,131.2055188,145.749084,1.830763747
2016/12/17 00:10,86.30639877,86.30639877,86.30639877,86.30639877,45.07770818,45.07770818,45.07770818,45.07770818,45.07770818,45.07770818,136.0032588,136.0032588,136.0032588,136.0032588,136.0032588,136.0032588,394.6273498,394.6273498,394.6273498,394.6273498,394.6273498,394.6273498,394.6273498,394.6273498,394.6273498,394.6273498,394.6273498,394.6273498,160.2063139,160.2063139,160.2063139,160.2063139,160.2063139,160.2063139,160.2063139,160.2063139,160.2063139,198.5052285,198.5052285,198.5052285,198.5052285,154.6932272,154.6932272,154.6932272,154.6932272,2.174283354,2.174283354,2.174283354,2.174283354,2.174283354,2.174283354,2.174283354,2.174283354,2.174283354,2.174283354,2.174283354,2.174283354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.15917,142.15917,142.15917,142.15917,142.15917,142.15917,142.15917,76.22817807,76.22817807,74.08535105,207.3332104,207.3332104,31.53409518,31.53409518,31.53409518,31.53409518,31.53409518,31.53409518,89.1158166,89.1158166,89.1158166,89.1158166,89.1158166,89.1158166,89.1158166,89.1158166,89.1158166,76.60255516,76.60255516,76.60255516,76.60255516,76.60255516,76.60255516,76.60255516,76.60255516,76.60255516,76.60255516,76.60255516,239.3661153,239.3661153,33.30906759,33.30906759,33.30906759,57.6588664,57.6588664,57.6588664,57.6588664,112.263485,112.263485,112.263485,112.263485,239.0992072,239.0992072,239.0992072,239.0992072,239.0992072,357.3534825,357.3534825,239.3661153,87.75709157,19.47884476,19.47884476,44.3388469,1.822755083,1.822755083,1.632125025,1.242103242,1.242103242,1.242103242,0.801368713,0.801368713,0.801368713,0.391724898,0.391724898,0.391724898,0.361552769,0.310980474,4.102943165,21.65191766,21.65191766,22.41801234,22.41801234,22.41801234,22.41801234,75.60400099,75.60400099,99.76999344,99.76999344,1.178446559,1.178446559,129.0317959,129.0317959,2.292425645,2.292425645,109.9764607,109.9764607,75.01297623,75.01297623,75.01297623,70.68247778,163.9832004,362.3945271,348.4766114,135.8758922,107.5702155,107.5702155,0,130.3266441,146.9836408,1.493992628
2016/12/17 00:20,81.58028762,81.58028762,81.58028762,81.58028762,43.46366729,43.46366729,43.46366729,43.46366729,43.46366729,43.46366729,135.0151324,135.0151324,135.0151324,135.0151324,135.0151324,135.0151324,399.1575528,399.1575528,399.1575528,399.1575528,399.1575528,399.1575528,399.1575528,399.1575528,399.1575528,399.1575528,399.1575528,399.1575528,167.2667352,167.2667352,167.2667352,167.2667352,167.2667352,167.2667352,167.2667352,167.2667352,167.2667352,207.3669421,207.3669421,207.3669421,207.3669421,160.6956922,160.6956922,160.6956922,160.6956922,2.090321215,2.090321215,2.090321215,2.090321215,2.090321215,2.090321215,2.090321215,2.090321215,2.090321215,2.090321215,2.090321215,2.090321215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.7473888,134.7473888,134.7473888,134.7473888,134.7473888,134.7473888,134.7473888,72.71273032,72.71273032,70.37889148,209.2212715,209.2212715,32.23733068,32.23733068,32.23733068,32.23733068,32.23733068,32.23733068,89.56671208,89.56671208,89.56671208,89.56671208,89.56671208,89.56671208,89.56671208,89.56671208,89.56671208,76.50375097,76.50375097,76.50375097,76.50375097,76.50375097,76.50375097,76.50375097,76.50375097,76.50375097,76.50375097,76.50375097,244.3146158,244.3146158,33.44831339,33.44831339,33.44831339,58.37461999,58.37461999,58.37461999,58.37461999,114.3652475,114.3652475,114.3652475,114.3652475,244.0205294,244.0205294,244.0205294,244.0205294,244.0205294,364.4319937,364.4319937,244.3146158,85.80684495,20.01817112,20.01817112,46.18699856,1.582329652,1.582329652,1.572024572,1.214405976,1.214405976,1.214405976,0.831860701,0.831860701,0.831860701,0.425118304,0.425118304,0.425118304,0.410179972,0.637842017,3.903160505,20.59557779,20.59557779,21.42224087,21.42224087,21.42224087,21.42224087,73.54174287,73.54174287,95.56655173,95.56655173,0.841544769,0.841544769,126.5260069,126.5260069,2.376559371,2.376559371,107.9071798,107.9071798,71.92909666,71.92909666,71.92909666,67.23571467,159.6698516,366.9610872,352.7923075,125.6154981,108.9074285,108.9074285,0,127.2217494,145.4756243,2.078393853
2016/12/17 00:30,84.9721004,84.9721004,84.9721004,84.9721004,44.48493967,44.48493967,44.48493967,44.48493967,44.48493967,44.48493967,127.0897886,127.0897886,127.0897886,127.0897886,127.0897886,127.0897886,388.2559803,388.2559803,388.2559803,388.2559803,388.2559803,388.2559803,388.2559803,388.2559803,388.2559803,388.2559803,388.2559803,388.2559803,169.6333029,169.6333029,169.6333029,169.6333029,169.6333029,169.6333029,169.6333029,169.6333029,169.6333029,213.6528162,213.6528162,213.6528162,213.6528162,166.2414359,166.2414359,166.2414359,166.2414359,2.13195969,2.13195969,2.13195969,2.13195969,2.13195969,2.13195969,2.13195969,2.13195969,2.13195969,2.13195969,2.13195969,2.13195969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.8062371,138.8062371,138.8062371,138.8062371,138.8062371,138.8062371,138.8062371,73.70083524,73.70083524,71.33890873,194.6233651,194.6233651,31.04076888,31.04076888,31.04076888,31.04076888,31.04076888,31.04076888,86.2214215,86.2214215,86.2214215,86.2214215,86.2214215,86.2214215,86.2214215,86.2214215,86.2214215,73.64928619,73.64928619,73.64928619,73.64928619,73.64928619,73.64928619,73.64928619,73.64928619,73.64928619,73.64928619,73.64928619,230.3718285,230.3718285,31.59670318,31.59670318,31.59670318,54.72055501,54.72055501,54.72055501,54.72055501,107.3256082,107.3256082,107.3256082,107.3256082,230.0441792,230.0441792,230.0441792,230.0441792,230.0441792,344.7986342,344.7986342,230.3718285,81.08873049,19.48658249,19.48658249,46.58339762,1.878233056,1.878233056,1.673813536,1.274417525,1.274417525,1.274417525,0.821410088,0.821410088,0.821410088,0.407030515,0.407030515,0.407030515,0.374918937,0.341472127,4.139213603,20.43987176,20.43987176,21.2416479,21.2416479,21.2416479,21.2416479,75.06246221,75.06246221,98.59193305,98.59193305,0.815837984,0.815837984,128.8615896,128.8615896,2.334108483,2.334108483,109.9663509,109.9663509,72.93807164,72.93807164,72.93807164,68.14333889,162.8265402,361.1759763,347.6550604,119.9992212,106.0300343,106.0300343,0,124.3845286,140.2426804,2.049548593
2016/12/17 00:40,82.83555281,82.83555281,82.83555281,82.83555281,43.8002569,43.8002569,43.8002569,43.8002569,43.8002569,43.8002569,134.5550609,134.5550609,134.5550609,134.5550609,134.5550609,134.5550609,410.0635116,410.0635116,410.0635116,410.0635116,410.0635116,410.0635116,410.0635116,410.0635116,410.0635116,410.0635116,410.0635116,410.0635116,174.6671547,174.6671547,174.6671547,174.6671547,174.6671547,174.6671547,174.6671547,174.6671547,174.6671547,217.741693,217.741693,217.741693,217.741693,169.1152825,169.1152825,169.1152825,169.1152825,2.205651758,2.205651758,2.205651758,2.205651758,2.205651758,2.205651758,2.205651758,2.205651758,2.205651758,2.205651758,2.205651758,2.205651758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.3664379,136.3664379,136.3664379,136.3664379,136.3664379,136.3664379,136.3664379,73.20004112,73.20004112,70.80153133,209.2124101,209.2124101,33.4528056,33.4528056,33.4528056,33.4528056,33.4528056,33.4528056,93.87127008,93.87127008,93.87127008,93.87127008,93.87127008,93.87127008,93.87127008,93.87127008,93.87127008,80.26780413,80.26780413,80.26780413,80.26780413,80.26780413,80.26780413,80.26780413,80.26780413,80.26780413,80.26780413,80.26780413,249.4773523,249.4773523,33.68935337,33.68935337,33.68935337,58.84643518,58.84643518,58.84643518,58.84643518,116.0696658,116.0696658,116.0696658,116.0696658,249.110364,249.110364,249.110364,249.110364,249.110364,372.3978293,372.3978293,249.4773523,90.26790561,20.63801972,20.63801972,48.19993346,1.700539487,1.700539487,1.643043514,1.269603951,1.269603951,1.269603951,0.866153344,0.866153344,0.866153344,0.452128216,0.452128216,0.452128216,0.433767326,0.637842017,3.951904901,20.68859477,20.68859477,21.52466872,21.52466872,21.52466872,21.52466872,74.01198375,74.01198375,96.57306995,96.57306995,0.780053113,0.780053113,126.1666691,126.1666691,2.299151584,2.299151584,107.5602097,107.5602097,77.04837225,77.04837225,77.04837225,67.89303497,159.5620789,380.2618798,365.8327766,135.2334684,113.2330401,113.2330401,0,134.9341427,152.8403124,0.635704633
2016/12/17 00:50,81.05811359,81.05811359,81.05811359,81.05811359,43.58323388,43.58323388,43.58323388,43.58323388,43.58323388,43.58323388,132.5597507,132.5597507,132.5597507,132.5597507,132.5597507,132.5597507,406.6754372,406.6754372,406.6754372,406.6754372,406.6754372,406.6754372,406.6754372,406.6754372,406.6754372,406.6754372,406.6754372,406.6754372,174.7698384,174.7698384,174.7698384,174.7698384,174.7698384,174.7698384,174.7698384,174.7698384,174.7698384,218.3746572,218.3746572,218.3746572,218.3746572,169.9728806,169.9728806,169.9728806,169.9728806,2.762895698,2.762895698,2.762895698,2.762895698,2.762895698,2.762895698,2.762895698,2.762895698,2.762895698,2.762895698,2.762895698,2.762895698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.5881151,134.5881151,134.5881151,134.5881151,134.5881151,134.5881151,134.5881151,72.55758532,72.55758532,69.9703872,201.8239354,201.8239354,31.90231352,31.90231352,31.90231352,31.90231352,31.90231352,31.90231352,91.32946867,91.32946867,91.32946867,91.32946867,91.32946867,91.32946867,91.32946867,91.32946867,91.32946867,78.45446723,78.45446723,78.45446723,78.45446723,78.45446723,78.45446723,78.45446723,78.45446723,78.45446723,78.45446723,78.45446723,238.1461553,238.1461553,32.09527658,32.09527658,32.09527658,56.06335553,56.06335553,56.06335553,56.06335553,110.5008244,110.5008244,110.5008244,110.5008244,237.8061814,237.8061814,237.8061814,237.8061814,237.8061814,357.2272905,357.2272905,238.1461553,93.69297528,21.06012481,21.06012481,48.27205913,1.605980891,1.605980891,1.576696086,1.197360033,1.197360033,1.197360033,0.772912377,0.772912377,0.772912377,0.360213335,0.360213335,0.360213335,0.334034189,0.3262263,3.470127474,19.41860706,19.41860706,20.1794481,20.1794481,20.1794481,20.1794481,72.10380183,72.10380183,94.38367381,94.38367381,0.682704813,0.682704813,124.6489413,124.6489413,1.912032568,1.912032568,106.3856867,106.3856867,82.32127097,82.32127097,82.32127097,67.36109732,157.8429269,379.5619971,365.5965834,140.5491497,117.5131925,117.5131925,0,132.8295964,160.1215547,1.867023453
2016/12/17 01:00,92.26024918,92.26024918,92.26024918,92.26024918,46.56154339,46.56154339,46.56154339,46.56154339,46.56154339,46.56154339,137.7945695,137.7945695,137.7945695,137.7945695,137.7945695,137.7945695,427.7759694,427.7759694,427.7759694,427.7759694,427.7759694,427.7759694,427.7759694,427.7759694,427.7759694,427.7759694,427.7759694,427.7759694,192.3616425,192.3616425,192.3616425,192.3616425,192.3616425,192.3616425,192.3616425,192.3616425,192.3616425,243.1353272,243.1353272,243.1353272,243.1353272,190.2880391,190.2880391,190.2880391,190.2880391,2.768107982,2.768107982,2.768107982,2.768107982,2.768107982,2.768107982,2.768107982,2.768107982,2.768107982,2.768107982,2.768107982,2.768107982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.6919299,148.6919299,148.6919299,148.6919299,148.6919299,148.6919299,148.6919299,76.99295958,76.99295958,75.12487284,211.1022671,211.1022671,33.9881862,33.9881862,33.9881862,33.9881862,33.9881862,33.9881862,99.8597813,99.8597813,99.8597813,99.8597813,99.8597813,99.8597813,99.8597813,99.8597813,99.8597813,86.34243539,86.34243539,86.34243539,86.34243539,86.34243539,86.34243539,86.34243539,86.34243539,86.34243539,86.34243539,86.34243539,250.5333552,250.5333552,33.29821819,33.29821819,33.29821819,58.3528734,58.3528734,58.3528734,58.3528734,115.5797626,115.5797626,115.5797626,115.5797626,250.1518221,250.1518221,250.1518221,250.1518221,250.1518221,376.9507632,376.9507632,250.5333552,106.1806602,25.14759667,25.14759667,57.55179869,2.086728672,2.086728672,2.159731823,1.841821772,1.841821772,1.841821772,1.506196602,1.506196602,1.506196602,1.144643611,1.144643611,1.144643611,1.151094857,1.109529876,4.268839193,23.26068872,23.26068872,24.44639673,24.44639673,24.44639673,24.44639673,80.92477076,80.92477076,106.5567736,106.5567736,1.172075384,1.172075384,134.4373761,134.4373761,2.714753219,2.714753219,114.4094801,114.4094801,85.01410656,85.01410656,85.01410656,71.20353525,170.3386759,399.455238,384.324327,163.6924081,127.5970975,127.5970975,0,148.167226,173.414622,2.530940194
2016/12/17 01:10,81.49292976,81.49292976,81.49292976,81.49292976,41.8044949,41.8044949,41.8044949,41.8044949,41.8044949,41.8044949,134.9659665,134.9659665,134.9659665,134.9659665,134.9659665,134.9659665,416.6091954,416.6091954,416.6091954,416.6091954,416.6091954,416.6091954,416.6091954,416.6091954,416.6091954,416.6091954,416.6091954,416.6091954,184.4815872,184.4815872,184.4815872,184.4815872,184.4815872,184.4815872,184.4815872,184.4815872,184.4815872,224.1667538,224.1667538,224.1667538,224.1667538,171.4793385,171.4793385,171.4793385,171.4793385,1.839586634,1.839586634,1.839586634,1.839586634,1.839586634,1.839586634,1.839586634,1.839586634,1.839586634,1.839586634,1.839586634,1.839586634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.1856554,132.1856554,132.1856554,132.1856554,132.1856554,132.1856554,132.1856554,69.81219713,69.81219713,67.77563422,205.9300714,205.9300714,32.43769934,32.43769934,32.43769934,32.43769934,32.43769934,32.43769934,92.90410509,92.90410509,92.90410509,92.90410509,92.90410509,92.90410509,92.90410509,92.90410509,92.90410509,79.76374864,79.76374864,79.76374864,79.76374864,79.76374864,79.76374864,79.76374864,79.76374864,79.76374864,79.76374864,79.76374864,243.1800304,243.1800304,32.63626943,32.63626943,32.63626943,57.06542821,57.06542821,57.06542821,57.06542821,112.6575947,112.6575947,112.6575947,112.6575947,242.8357535,242.8357535,242.8357535,242.8357535,242.8357535,365.2043514,365.2043514,243.1800304,100.4496968,22.36288333,22.36288333,51.89414741,1.586609781,1.586609781,1.606746202,1.239592301,1.239592301,1.239592301,0.845577632,0.845577632,0.845577632,0.428935428,0.428935428,0.428935428,0.412923553,0.627783123,3.724465273,19.88342016,19.88342016,20.71542179,20.71542179,20.71542179,20.71542179,71.313643,71.313643,94.1474632,94.1474632,0.501734925,0.501734925,120.9343165,120.9343165,2.177213901,2.177213901,103.099362,103.099362,78.11322728,78.11322728,78.11322728,64.61885934,153.1933482,389.2509602,374.956541,150.4059689,121.0630421,121.0630421,0,136.9392779,165.8554972,0.873078438
2016/12/17 01:20,80.02478605,80.02478605,80.02478605,80.02478605,41.14640884,41.14640884,41.14640884,41.14640884,41.14640884,41.14640884,137.2368661,137.2368661,137.2368661,137.2368661,137.2368661,137.2368661,426.1727983,426.1727983,426.1727983,426.1727983,426.1727983,426.1727983,426.1727983,426.1727983,426.1727983,426.1727983,426.1727983,426.1727983,180.5234201,180.5234201,180.5234201,180.5234201,180.5234201,180.5234201,180.5234201,180.5234201,180.5234201,217.0289132,217.0289132,217.0289132,217.0289132,165.7271449,165.7271449,165.7271449,165.7271449,1.898161663,1.898161663,1.898161663,1.898161663,1.898161663,1.898161663,1.898161663,1.898161663,1.898161663,1.898161663,1.898161663,1.898161663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.2809188,130.2809188,130.2809188,130.2809188,130.2809188,130.2809188,130.2809188,68.25773635,68.25773635,66.54376753,210.4790417,210.4790417,32.76595853,32.76595853,32.76595853,32.76595853,32.76595853,32.76595853,94.35102643,94.35102643,94.35102643,94.35102643,94.35102643,94.35102643,94.35102643,94.35102643,94.35102643,80.96030496,80.96030496,80.96030496,80.96030496,80.96030496,80.96030496,80.96030496,80.96030496,80.96030496,80.96030496,80.96030496,248.5867292,248.5867292,33.25667568,33.25667568,33.25667568,58.15486529,58.15486529,58.15486529,58.15486529,114.9640383,114.9640383,114.9640383,114.9640383,248.241787,248.241787,248.241787,248.241787,248.241787,373.6447908,373.6447908,248.5867292,103.4965118,22.29753693,22.29753693,50.75010371,1.771737593,1.771737593,1.628526212,1.237963024,1.237963024,1.237963024,0.797047226,0.797047226,0.797047226,0.383837727,0.383837727,0.383837727,0.354075164,0.31680265,3.952400536,19.44197539,19.44197539,20.18619126,20.18619126,20.18619126,20.18619126,70.93304335,70.93304335,92.94000376,92.94000376,0.527460334,0.527460334,120.3019681,120.3019681,2.234473614,2.234473614,102.5489571,102.5489571,80.41340349,80.41340349,80.41340349,62.98384168,151.900046,398.2272286,383.6228195,159.406051,120.8966324,120.8966324,0,139.5807832,167.8326034,1.018669647
2016/12/17 01:30,84.40834022,84.40834022,84.40834022,84.40834022,41.11211392,41.11211392,41.11211392,41.11211392,41.11211392,41.11211392,139.4203675,139.4203675,139.4203675,139.4203675,139.4203675,139.4203675,452.354771,452.354771,452.354771,452.354771,452.354771,452.354771,452.354771,452.354771,452.354771,452.354771,452.354771,452.354771,188.8704319,188.8704319,188.8704319,188.8704319,188.8704319,188.8704319,188.8704319,188.8704319,188.8704319,228.3490821,228.3490821,228.3490821,228.3490821,174.1328936,174.1328936,174.1328936,174.1328936,1.974021438,1.974021438,1.974021438,1.974021438,1.974021438,1.974021438,1.974021438,1.974021438,1.974021438,1.974021438,1.974021438,1.974021438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.064803,135.064803,135.064803,135.064803,135.064803,135.064803,135.064803,68.71188126,68.71188126,67.59421809,212.551802,212.551802,32.75662715,32.75662715,32.75662715,32.75662715,32.75662715,32.75662715,94.94880398,94.94880398,94.94880398,94.94880398,94.94880398,94.94880398,94.94880398,94.94880398,94.94880398,81.2847975,81.2847975,81.2847975,81.2847975,81.2847975,81.2847975,81.2847975,81.2847975,81.2847975,81.2847975,81.2847975,251.411173,251.411173,33.36533374,33.36533374,33.36533374,58.34918663,58.34918663,58.34918663,58.34918663,115.5907616,115.5907616,115.5907616,115.5907616,251.0559634,251.0559634,251.0559634,251.0559634,251.0559634,379.3988033,379.3988033,251.411173,92.58662328,22.22144785,22.22144785,53.17487018,2.073830263,2.073830263,1.731095259,1.341488522,1.341488522,1.341488522,0.909745123,0.909745123,0.909745123,0.511081294,0.511081294,0.511081294,0.484070462,0.632970056,4.866851477,21.0638977,21.0638977,21.94260145,21.94260145,21.94260145,21.94260145,74.28771356,74.28771356,97.69132773,97.69132773,0.459104278,0.459104278,122.0687475,122.0687475,2.913230418,2.913230418,103.6329279,103.6329279,82.32958232,82.32958232,82.32958232,63.26118001,154.6559737,429.2076556,414.7463014,137.2669595,118.3493031,118.3493031,0,140.1632383,156.9848222,1.59970558
